No,Title,Link,Tags,Acceptance,Difficulty,Frequency
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,[Array][Hash Table][Union Find],47.3%,Medium,0
2667,Create Hello World Function,https://leetcode.com/problems/create-hello-world-function/description/,,80.9%,Easy,0
1590,Make Sum Divisible by P,https://leetcode.com/problems/make-sum-divisible-by-p/description/,[Array][Hash Table][Prefix Sum],28.9%,Medium,0
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/,[String][Trie],42.4%,Easy,0
869,Reordered Power of 2,https://leetcode.com/problems/reordered-power-of-2/description/,[Hash Table][Math][Sorting][Counting][Enumeration],62.8%,Medium,0
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/description/,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.2%,Hard,0
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/description/,[Array][Math][Stack],51.0%,Medium,0
475,Heaters,https://leetcode.com/problems/heaters/description/,[Array][Two Pointers][Binary Search][Sorting],37.6%,Medium,0
155,Min Stack,https://leetcode.com/problems/min-stack/description/,[Stack][Design],53.8%,Medium,0
15,3Sum,https://leetcode.com/problems/3sum/description/,[Array][Two Pointers][Sorting],34.2%,Medium,0
1496,Path Crossing,https://leetcode.com/problems/path-crossing/description/,[Hash Table][String],62.4%,Easy,0
1044,Longest Duplicate Substring,https://leetcode.com/problems/longest-duplicate-substring/description/,[String][Binary Search][Sliding Window][Rolling Hash][Suffix Array][Hash Function],30.6%,Hard,0
2861,Maximum Number of Alloys,https://leetcode.com/problems/maximum-number-of-alloys/description/,[Array][Binary Search],37.6%,Medium,0
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/description/,[Array][Hash Table][Matrix],59.3%,Medium,0
55,Jump Game,https://leetcode.com/problems/jump-game/description/,[Array][Dynamic Programming][Greedy],38.5%,Medium,0
909,Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders/description/,[Array][Breadth-First Search][Matrix],43.8%,Medium,0
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii/description/,[Array][Stack][Monotonic Stack],63.7%,Medium,0
287,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/description/,[Array][Two Pointers][Binary Search][Bit Manipulation],59.4%,Medium,0
