No,Title,Link,Tags,Acceptance,Difficulty,Frequency
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/,[Linked List][Recursion],64.0%,Easy,0
312,Burst Balloons,https://leetcode.com/problems/burst-balloons/description/,[Array][Dynamic Programming],58.5%,Hard,0
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,[Array][Hash Table][Union Find],47.3%,Medium,0
455,Assign Cookies,https://leetcode.com/problems/assign-cookies/description/,[Array][Two Pointers][Greedy][Sorting],52.7%,Easy,0
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/description/,[Math],28.4%,Medium,0
337,House Robber III,https://leetcode.com/problems/house-robber-iii/description/,[Dynamic Programming][Tree][Depth-First Search][Binary Tree],54.2%,Medium,0
518,Coin Change II,https://leetcode.com/problems/coin-change-ii/description/,[Array][Dynamic Programming],63.6%,Medium,0
323,Number of Connected Components in an Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/description/,[Depth-First Search][Breadth-First Search][Union Find][Graph],62.7%,Medium,0
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/description/,[String][Dynamic Programming][Backtracking],74.2%,Medium,0
1472,Design Browser History,https://leetcode.com/problems/design-browser-history/description/,[Array][Linked List][Stack][Design][Doubly-Linked List][Data Stream],77.5%,Medium,0
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/description/,[Array][Two Pointers][Dynamic Programming][Stack][Monotonic Stack],60.8%,Hard,0
207,Course Schedule,https://leetcode.com/problems/course-schedule/description/,[Depth-First Search][Breadth-First Search][Graph][Topological Sort],46.6%,Medium,0
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/description/,[Hash Table][String][Trie][Sorting][Heap (Priority Queue)][Bucket Sort][Counting],57.8%,Medium,0
501,Find Mode in Binary Search Tree,https://leetcode.com/problems/find-mode-in-binary-search-tree/description/,[Tree][Depth-First Search][Binary Search Tree][Binary Tree],55.9%,Easy,0
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters/description/,[String][Stack][Greedy][Monotonic Stack],49.4%,Medium,0
1757,Recyclable and Low Fat Products,https://leetcode.com/problems/recyclable-and-low-fat-products/description/,[Database],89.2%,Easy,0
896,Monotonic Array,https://leetcode.com/problems/monotonic-array/description/,[Array],61.1%,Easy,0
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/description/,[Array][Hash Table][Prefix Sum],43.4%,Medium,0
1164,Product Price at a Given Date,https://leetcode.com/problems/product-price-at-a-given-date/description/,[Database],55.4%,Medium,0
1480,Running Sum of 1d Array,https://leetcode.com/problems/running-sum-of-1d-array/description/,[Array][Prefix Sum],86.7%,Easy,0
941,Valid Mountain Array,https://leetcode.com/problems/valid-mountain-array/description/,[Array],33.4%,Easy,0
1004,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/description/,[Array][Binary Search][Sliding Window][Prefix Sum],62.7%,Medium,0
1512,Number of Good Pairs,https://leetcode.com/problems/number-of-good-pairs/description/,[Array][Hash Table][Math][Counting],88.9%,Easy,0
89,Gray Code,https://leetcode.com/problems/gray-code/description/,[Math][Backtracking][Bit Manipulation],58.8%,Medium,0
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/description/,[Array][Binary Search][Dynamic Programming][Sorting],54.8%,Hard,0
1838,Frequency of the Most Frequent Element,https://leetcode.com/problems/frequency-of-the-most-frequent-element/description/,[Array][Binary Search][Greedy][Sliding Window][Sorting][Prefix Sum],45.3%,Medium,0
39,Combination Sum,https://leetcode.com/problems/combination-sum/description/,[Array][Backtracking],71.0%,Medium,0
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/,[String][Stack],40.5%,Easy,0
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,[Hash Table][String][Backtracking],60.0%,Medium,0
79,Word Search,https://leetcode.com/problems/word-search/description/,[Array][String][Backtracking][Matrix],41.4%,Medium,0
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/description/,[String][Dynamic Programming],46.5%,Hard,0
226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/description/,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],76.6%,Easy,0
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/description/,[Array][Hash Table][Backtracking][Matrix],60.5%,Hard,0
485,Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones/description/,[Array],58.6%,Easy,0
645,Set Mismatch,https://leetcode.com/problems/set-mismatch/description/,[Array][Hash Table][Bit Manipulation][Sorting],44.6%,Easy,0
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/,[String][Trie],42.4%,Easy,0
1642,Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach/description/,[Array][Greedy][Heap (Priority Queue)],49.7%,Medium,0
767,Reorganize String,https://leetcode.com/problems/reorganize-string/description/,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.5%,Medium,0
346,Moving Average from Data Stream,https://leetcode.com/problems/moving-average-from-data-stream/description/,[Array][Design][Queue][Data Stream],78.1%,Easy,0
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/description/,[Hash Table][String][Design][Trie],64.7%,Medium,0
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/description/,[Math][Dynamic Programming][Memoization],52.8%,Easy,0
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/description/,[Array][Matrix][Simulation],48.9%,Medium,0
278,First Bad Version,https://leetcode.com/problems/first-bad-version/description/,[Binary Search][Interactive],44.2%,Easy,0
493,Reverse Pairs,https://leetcode.com/problems/reverse-pairs/description/,[Array][Binary Search][Divide and Conquer][Binary Indexed Tree][Segment Tree][Merge Sort][Ordered Set],30.6%,Hard,0
853,Car Fleet,https://leetcode.com/problems/car-fleet/description/,[Array][Stack][Sorting][Monotonic Stack],50.7%,Medium,0
332,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/description/,[Depth-First Search][Graph][Eulerian Circuit],43.3%,Hard,0
796,Rotate String,https://leetcode.com/problems/rotate-string/description/,[String][String Matching],57.7%,Easy,0
71,Simplify Path,https://leetcode.com/problems/simplify-path/description/,[String][Stack],41.9%,Medium,0
743,Network Delay Time,https://leetcode.com/problems/network-delay-time/description/,[Depth-First Search][Breadth-First Search][Graph][Heap (Priority Queue)][Shortest Path],53.4%,Medium,0
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/description/,[Linked List][Recursion],58.1%,Hard,0
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/,[Array][Two Pointers][Greedy],54.9%,Medium,0
257,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths/description/,[String][Backtracking][Tree][Depth-First Search][Binary Tree],63.3%,Easy,0
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/description/,[Array][Queue][Sliding Window][Heap (Priority Queue)][Monotonic Queue],46.5%,Hard,0
409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome/description/,[Hash Table][String][Greedy],53.9%,Easy,0
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/description/,[Array][Hash Table][String][Sorting],68.2%,Medium,0
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/description/,[Array][Hash Table][Sorting],61.4%,Easy,0
441,Arranging Coins,https://leetcode.com/problems/arranging-coins/description/,[Math][Binary Search],46.5%,Easy,0
451,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency/description/,[Hash Table][String][Sorting][Heap (Priority Queue)][Bucket Sort][Counting],72.4%,Medium,0
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/description/,[Array][Binary Search][Matrix],49.8%,Medium,0
57,Insert Interval,https://leetcode.com/problems/insert-interval/description/,[Array],40.0%,Medium,0
211,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/description/,[String][Depth-First Search][Design][Trie],45.0%,Medium,0
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description/,[Linked List][Tree][Depth-First Search][Breadth-First Search][Binary Tree],62.3%,Medium,0
212,Word Search II,https://leetcode.com/problems/word-search-ii/description/,[Array][String][Backtracking][Trie][Matrix],36.2%,Hard,0
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/description/,[Array][Stack][Monotonic Stack],65.9%,Medium,0
189,Rotate Array,https://leetcode.com/problems/rotate-array/description/,[Array][Math][Two Pointers],40.3%,Medium,0
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/description/,[Array][Hash Table],37.8%,Hard,0
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/description/,[String][Dynamic Programming][Greedy][Recursion],27.7%,Hard,0
542,01 Matrix,https://leetcode.com/problems/01-matrix/description/,[Array][Dynamic Programming][Breadth-First Search][Matrix],48.2%,Medium,0
198,House Robber,https://leetcode.com/problems/house-robber/description/,[Array][Dynamic Programming],50.9%,Medium,0
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/description/,[Array][Math][Stack],51.0%,Medium,0
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/description/,[Array][Binary Search],45.5%,Easy,0
69,Sqrt(x),https://leetcode.com/problems/sqrtx/description/,[Math][Binary Search],38.5%,Easy,0
178,Rank Scores,https://leetcode.com/problems/rank-scores/description/,[Database],61.9%,Medium,0
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/description/,[Hash Table][Math][String],60.8%,Easy,0
127,Word Ladder,https://leetcode.com/problems/word-ladder/description/,[Hash Table][String][Breadth-First Search],38.8%,Hard,0
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/description/,[Math],55.8%,Easy,0
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/description/,[Array][Dynamic Programming],73.9%,Easy,0
169,Majority Element,https://leetcode.com/problems/majority-element/description/,[Array][Hash Table][Divide and Conquer][Sorting][Counting],64.7%,Easy,0
67,Add Binary,https://leetcode.com/problems/add-binary/description/,[Math][String][Bit Manipulation][Simulation],53.3%,Easy,0
213,House Robber II,https://leetcode.com/problems/house-robber-ii/description/,[Array][Dynamic Programming],41.8%,Medium,0
344,Reverse String,https://leetcode.com/problems/reverse-string/description/,[Two Pointers][String],77.6%,Easy,0
